Pris,Model,Detaljer,Beskrivelse,Lokation,ForhandlerID,Forhandler_navn,Forhandler_adresse,Forhandler_CVR,Link_til_bil
249.800 kr.,VW ID.4Pro Performance 5d,"6/2022, 81.000 km, 514 km rækkevidde, El","svingbart træk (manuel), Matrix LED lygter IQ light, metalic hvid, varmepumpe, Design pakke, comfortpakke, regnsensor,  19"" alufælge, sædevarme, højdejust. forsæder, aut.gear/tiptronic, fuldaut. klima, 2 zone klima, fjernb. c.lås, nøglefri betjening, fartpilot, kørecomputer, infocenter, startspærre, udv. temp. måler, højdejust. førersæde, el-ruder, 4x el-ruder, el-spejle, el-spejle m/varme, parkeringssensor (bag), parkeringssensor (for), adaptiv fartpilot, multifunktionsrat, navigation, dab+ radio, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, digitalt cockpit, apple carplay, isofix, bagagerumsdækken, kopholder, stofindtræk, splitbagsæde, læderrat, automatisk lys, fjernlysassistent, fuld led forlygter, airbag, abs, antispin, esp, servo, mørktonede ruder i bag, 1 ejer, ikke ryger, service ok

Vi hjælper gerne med finansiering eller leasing på denne bil, kontakt os for tilbud. Vi tager gerne din bil i bytte! 
se vores mange el biler på www.sp-leasing.dk altid stort udvalg klar til levering.","Agerskov, Syd- og Sønderjylland",id11138,Detaljer,"Mellerupvej 2A, 6534 Agerskov",CVR-nr.: 35704329,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6304616
289.900 kr.,VW ID.4Life 5d,"6/2024, 6.000 km, 359 km rækkevidde, El","Super fin ID.4 Life 

✅Op til 145 kW DC opladning
✅52 kWh batteripakke 
✅18"" stålfælge med hjulkapsler
✅Anhængertræk med svingbar krog 
✅med varmepumpe 
✅Bakkamera 
✅2 zone klima 
✅adaptiv fartpilot 

aut., bakkamera, parkeringssensor (bag), parkeringssensor (for), 2 zone klima, airc., skiltegenkendelse, dab+ radio, svingbart træk (elektrisk), isofix, højdejust. forsæder, tagræling, sædevarme, varme i forrude, mørktonede ruder i bag, auto. nedbl. bakspejl, nøglefri betjening, armlæn, vognbaneassistent, el-klapbare sidespejle m. varme, dæktryksmåler, navigation, fuld led forlygter, automatisk nødbremsesystem, regnsensor, udv. temp. måler, adaptiv fartpilot, apple carplay, android auto, musikstreaming via bluetooth, håndfrit til mobil, bluetooth, multifunktionsrat, 4x el-ruder, kopholder, airbag","Herning, Vestjylland",id2763,Detaljer,"Tjelevej 16-20,  Tjørring, 7400 Herning",CVR-nr.: 37646962,https://www.bilbasen.dk/brugt/bil/vw/id4/life-5d/6357453
269.999 kr.,VW ID.4Pro Performance Tech 5d,"9/2021, 45.000 km, 534 km rækkevidde, El","⚫️BEMÆRK TECH PERFORMANCE MODEL MED ALT TÆNKELIGT UDSTYR SVARENDE TIL EN MAX MODEL! SOM VARMEPUMPE, 360° KAMERA, PANORAMAGLASTAG, EL SÆDER M. MEMORY, ADAPTIV FARTPILOT & MM.⚫️

𝘽𝙡𝙞𝙫 𝙠ø𝙧𝙚𝙣𝙙𝙚 𝙛𝙧𝙖 𝙠𝙪𝙣 3.047 𝙠𝙧. 𝙞 𝙢å𝙣𝙚𝙙𝙡𝙞𝙜 𝙮𝙙𝙚𝙡𝙨𝙚 𝙤𝙜 𝙢𝙚𝙙 20 % 𝙞 𝙪𝙙𝙗𝙚𝙩𝙖𝙡𝙞𝙣𝙜!

𝙀𝙡𝙡𝙚𝙧 𝙗𝙡𝙞𝙫 𝙠ø𝙧𝙚𝙣𝙙𝙚 𝙛𝙧𝙖 𝙠𝙪𝙣 4.189 𝙠𝙧. 𝙞 𝙢å𝙣𝙚𝙙𝙡𝙞𝙜 𝙮𝙙𝙚𝙡𝙨𝙚 𝙢𝙚𝙙 0 𝙠𝙧. 𝙞 𝙪𝙙𝙗𝙚𝙩𝙖𝙡𝙞𝙣𝙜!

Om 🚘
Bemærk ekstrem velholdt og til Danmarks billigste pris i Tech Performance Udgave med Varmepumpe, El-Bagklap, Adaptiv Fartpilot, 360° Kamera, 77 KwH batteri og mm.

🔋♻️En ID.4, der er udstyret med alt tænkeligt! Giver dig alt det bedste fra El-verdenen. Opgivet til Elektrisk Rækkevidde på 534 km - Batteri Kapacitet på 77 KWh

⚫️VW ID.4 TECH PERFORMANCE der kombinerer udstyr, størrelse, komfort og udseende i en perfekt bil.

EKSTRAUDSTYR⬇️
◼️ FULDT UDSTYRET TECH PERFORMANCE!
◼️ Absolut Fuldt Udstyret ID.4 Tech Svarende Til En Max!
◼️ Tech Udgave Med Alt Tænkeligt I Udstyr!
◼️ Varmepumpe
◼️ Mulighed For At Få Eftermonteret Svingbart Træk Til 15.000
◼️ Panorama Glastag
◼️ 360° Kamera
◼️ Matrix-Beam
◼️ Front Assist, Der Advarer Og Bremser Ved Biler, Fodgængere Og Cyklister
◼️ LED-Forlygte Med Variabel Lysfordeling
◼️ LED-Baglygte, Animerede Lysfunktioner
◼️ Komfortåbning Til Bagklap (Virtuel Pedal) Og Easy Close
◼️ Nøglefrit Låse- Og Startsystem ""Keyless Advanced"" Uden Safefunktion
◼️ Dynamisk Styring
◼️Alcantara Sæder M. Memory & Massage
◼️ Den Aller Største IQ Lygtepakke
◼️ Alle De Mulige Assistenter!!
◼️ Adaptiv Fartpilot
◼️ Blindvikelsassistent!
◼️ Laneassist
◼️ Frontassist
◼️ Udkørselsassistent
◼️ ELEKTRISK PARKERINGSBREMSE
◼️ Emergency Assistent
◼️ Digitalt Speedometer!
◼️ Klimaanlæg Med 3 Zoner
◼️ Sport-Komfortsæder
◼️ Headup Display
◼️ Bemærk Med Varmepumpe
◼️ Varme I Rat
◼️ Nøglefri Betjening
◼️ 1 Ejers
◼️ Fuld Serivcebog
◼️ Klimatisering, Bilstatus, Lade Status M.M. Kan Ses Og Kontrolleres Fra VW We Connect App

VED FINANSIERING HOS OS TILBYDER VI⤵️
🔴 12 mdr. mekanisk forsikring
🔴 Brugtbilsattest
🔴 Gratis lånebil
🔴 Hent & bringeservice

VED KØB AF BIL INKLUDERES:
🛠 Nyserviceret efter fabrikantens anvisninger
⚙️ 100% Mekanisk gennemgået
✔️ Bilen leveres altid Nysynet
◼️ leveres altid professionelt klargjort
◼️ Ingen ekstra omkostninger!

Om Au2Vest:
🤝 Hos Au2vest er kunderne første prioritet og derfor gør vi altid alt vi behersker for en god handel.
🤝 Au2vest er din garanti for kvalitetsbiler til lave priser
🤝 Vi har 15 års erfaring med indkøb, salg samt reparation alle størrelser.
🤝 Vi er godkendte til at reparerer på alle bilmærker samt modeller og har det hele på vores matrikel.
🤝 Ekstrem kompetente folk der er klar til hjælpe dig med dit behov og evt. skræddersyge din vej.
🤝 En god handel er en tryg handel og derfor er kommunikation vejen frem for os i en handel.
🤝 Beliggende midt på Sjælland med gode muligheder for tilkørsel fra motorvej eller tog.

Åbent alle hverdage fra 9:30-17:30 og om søndagen fra 11:00-15:00 🕒

Der tages forbehold for evt. tastefejl.,","Taastrup, København",id10550,Detaljer,"Rugvænget 33, 2630 Taastrup",CVR-nr.: 37874299,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-tech-5d/6355628
289.900 kr.,VW ID.4Life 5d,"6/2024, 4.500 km, 359 km rækkevidde, El","❗LEDER DU EFTER EN DRIFTSIKKER OG KOMFORTABEL EL-BIL, SÅ LÆS MED HER❗

⚡ID.4 LIFE⚡

📞HAR DU SPØRGSMÅL TIL BILEN ELLER ØNSKER DU SELV AT OPLEVE KOMFORTEN PÅ EN PRØVETUR, SÅ TØV IKKE MED AT KONTAKTE OS: 96742600📞

UDSTYRET MED BL.A:
✅VARMEPUMPE
✅BAKKAMERA
✅APP-CONNECT
✅LANE-ASSIST
✅ADAPTIV FARTPILOT

✅52 KWH - 352 KM.
✅174 HK.
Derudover også: aut., varme i rat, fuldaut. klima, elektrisk kabinevarmer, fjernb. c.lås, nøglefri betjening, kørecomputer, infocenter, startspærre, varme i forrude, auto. nedbl. bakspejl, udv. temp. måler, regnsensor, sædevarme, højdejust. førersæde, 4x el-ruder, el-klapbare sidespejle m. varme, bakkamera, parkeringssensor (bag), parkeringssensor (for), adaptiv fartpilot, elektrisk parkeringsbremse, træthedsregistrering, dab+ radio, navigation, skiltegenkendelse, multifunktionsrat, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, digitalt cockpit, android auto, apple carplay, trådløs mobilopladning, usb tilslutning, automatisk lys, led kørelys, airbag, abs, esp, servo, vognbaneassistent, automatisk nødbremsesystem, mørktonede ruder i bag

⚡HUSK, AT VI OGSÅ TILBYDER ATTRAKTIVE FINANSERINGS- SAMT FORSIKRINGSMULIGHEDER⚡","Ringkøbing, Vestjylland",id2772,Detaljer,"Enghavevej 3-9, 6950 Ringkøbing",CVR-nr.: 56481710,https://www.bilbasen.dk/brugt/bil/vw/id4/life-5d/6306686
242.500 kr.,VW ID.4Pro Performance Business 5d,"8/2021, 62.200 km, 531 km rækkevidde, El","Er du på jagt efter en moderne elbil med masser af kræfter og udstyr? Så tag et nærmere kig på denne VW ID.4 Pro fra 2021. Med sine 204 HK og smarte design er bilen perfekt til både lange ture og daglig kørsel i bymiljøet.

⭐️⭐️⭐️⭐️⭐️ Vores kunder har talt - vi gør det Fremragende på Trustpilot ⭐️⭐️⭐️⭐️⭐️

Rækkevidde på batteri - WLTP: 519 km
AC ladning: 3 faser op til 11 kw
DC ladning: 125 kw (max)
Batteristørrelse: 77 kWh


Særligt nævneværdigt udstyr:

- Adaptiv fartpilot
- Dellæder kabine
- IQ Matrix forlygter
- El-indstillige førersæde m. memory
- 18"" alufælge
- Trådløs Mobilopladning
- Navigation Discover Pro m. touchskærm
- Ambient light
- Apple Carplay / Android Auto
- 2-zoners klimaanlæg
- Skiltegenkendelse
- Parkeringssensorer for og bag
- Bakkamera
- Digital Cockpit
- Multifunktionslæderrat med justerbar ratstamme & varme
- Nøglefri start/stop
- Vejbaneassistent
- Sædevarme

Yderligere nævneværdigt udstyr:

- DAB radio
- Armlæn for og bag
- El-sammenklappelige sidespejle, elektrisk indstilligelige
- Splitbagsæde
- ISOFIX
- Regnsensor
- Automatisk nødbremsefunktion
- Kørecomputer
- Dæktryksmåler
- Træthedsregistrering
- USB-C tilslutning
- Airbags
- Automatisk nedblænding af bakspejl.
- Elektrisk håndbremse
- Tagrægling
- Meget mere...

Bemærk - bilen er importeret og kan variere i udstyr i forhold til den danske udstyrsliste.

Velkommen hos Aunsbjerg

🔏 Alle vores biler kan reserveres online i 48 timer
🗓 Vi holder åbent alle ugens 7 dage
💸 Vi hjælper gerne med en serviceaftale, der matcher dit behov, så du slipper for uforudsigelig værkstedsregninger
🤝 Vi tager gerne din nuværende bil i bytte
📑 Vi hjælper gerne med finansiering
🔧 Vores 4 værksteder servicerer alle bilmærker

📞 📧 Ring eller skriv til os – vi bestræber os på at svare inden for 24 timer.
77 333 000 – info@aunsbjerg.com.","Kolding, Syd- og Sønderjylland",id2257,Detaljer,"Platinvej 1, 6000 Kolding",CVR-nr.: 18628139,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-business-5d/6342660
279.700 kr.,VW ID.4Pro Performance 5d,"12/2022, 50 km, 531 km rækkevidde, El","🔶ID.4 Pro Performance🔶
___________________________________
• RENTEKAMPAGNE NOVEMBER FAST RENTE 3,99% •
• Til omgående levering • 
___________________________________
➜ Farve: Blåmetal!
➜ Indtræk: Mørk flerfarvet stof!
➜ Fælge: 19'' Alufælge
➜ Rækkevidde op til 511km ifølge wltp!
___________________________________
👇 Bemærkelseværdigt Udstyr 👇
✔️ Adaptiv fartpilot
✔️ vognbaneassistent
✔️ P-sensor for og bag
✔️ Fuld led forlygter
✔️ 2 zone klima
✔️ Navigation
✔️ Bluetooth
✔️ Sædevarme
✔️ Digital instrument
✔️ apple carplay/android auto
✔️ Trådløs mobilopladning
✔️ Skiltegenkendelse
✔️ Digital cockpit
___________________________________
• LEVERING I HELE DANMARK •
• FINANSIERING/LEASING MED ELLER UDEN UDBETALING •
___________________________________
UDSTYR:
aut., 19"" alufælge, varme i rat, airc., 2 zone klima, alarm, fjernb. c.lås, fartpilot, nøglefri betjening, kørecomputer, infocenter, auto. nedbl. bakspejl, udv. temp. måler, regnsensor, sædevarme, højdejust. forsæder, 4x el-ruder, el-klapbare sidespejle m. varme, parkeringssensor (bag), parkeringssensor (for), adaptiv fartpilot, dæktryksmåler, elektrisk parkeringsbremse, træthedsregistrering, skiltegenkendelse, dab+ radio, navigation, multifunktionsrat, håndfrit til mobil, bluetooth, musikstreaming via bluetooth, digitalt cockpit, apple carplay, android auto, trådløs mobilopladning, usb tilslutning, armlæn, isofix, bagagerumsdækken, kopholder, stofindtræk, læderrat, splitbagsæde, automatisk lys, led kørelys, fuld led forlygter, 6 airbags, abs, antispin, esp, servo, vognbaneassistent, automatisk nødbremsesystem, ikke ryger, lev. nysynet
___________________________________
📱+ 45 60 61 21 44
💻 www.oestergaard-automobiler.dk
📧 salg@oestergaard-automobiler.dk
📍 Østergaard Automobiler ApS · Thorsvej 102 · 7200 Grindsted
___________________________________
🕓 ÅBNINGSTIDER: Man - Fre 09-17:00 - Søn 11-16.

Der tages forbehold for fejl/tastefejl/priser i annoncen","Grindsted, Syd- og Sønderjylland",id8121,Detaljer,"Thorsvej 102, 7200 Grindsted",CVR-nr.: 10130115,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6362331
239.800 kr.,VW ID.4Pro Performance Business 5d,"8/2021, 78.000 km, 516 km rækkevidde, El","ID4 Pro Performance Business er den ultimative løsning til alle dine behov. Uanset om du er på udkig efter en enestående præstation, enestående funktionalitet eller enestående design, så er ID4 det ideelle valg for dig.

Motor: EL 77kWh / 82 kWh [Netto/brutto]
Forbrug: 16,7 kWh/100km
Rækkevidde: 517km blandet kørsel & Bykørsel 645km WLTP*
Opladning: 10-80% på 29 minutter [Offentlig ladning 135kW] eller hjemmeladning på 7t og 30 minutter [3-faset AC 11kW 0-100%]
Grøn ejerafgift: Kr. 370,- [Halvårligt]
Acceleration 0-100 km/t8,5 sek.
Tilladt påhæng m/bremser1.000 kg

Highlights:
⭐️ Varmepumpe
⭐️ IQ Matrix lygter med dynamisk blinklys
⭐️ Automatisk op-/nedblænding af fjernlys
⭐️ Bakkamera
⭐️ Multifunktionslæderrat med varme 
⭐️ Adaptiv fartpilot
⭐️ Trådløst mobilopladning
⭐️ Digital cockpit
⭐️ Navigation med dansk tale
⭐️ Trådløst Apple CarPlay/Android auto 
⭐️ DAB Radio
⭐️ Bagerste ruder mørktonede
⭐️ Parkeringsensor foran & bagpå
⭐️ 10¨ Infotianment touchskærm 
⭐️ Alcantara & dellædersæder
⭐️ El klapbare sidespejle med varme 
⭐️ Keyless Advance (Fuld nøglefri betjening). 

1 ejer, xenonlys, Apple CarPlay, motorkabinevarmer, 2 zone klima, db. airbags, dellæder, ESP, skiltegenkendelse, DAB radio, lane assist, automatisk nødbremsesystem, airc., el-ruder, 4x el-ruder, fartpilot, isofix, fuldaut. klima, ABS, airbag, c.lås, fjernb. c.lås, el-klapbare sidespejle, el-spejle, el-spejle m/varme, bakkamera, multifunktionsrat, parkeringssensor (bag), regnsensor, servo, sædevarme, udv. temp. måler, højdejust. førersæde, kopholder, læderrat, aftag. træk, tonede ruder, svingbart træk (manuel), mørktonede ruder i bag, varme i rat, auto. nedbl. Bakspejl, fjernlysassistent, adaptiv fartpilot, nøglefri betjening, parkeringssensor, parkeringssensor (for), DAB+ radio, digitalt cockpit, trådløs mobilopladning, fuld LED forlygter, kunstlæder, musikstreaming via bluetooth, svingbart træk (elektrisk), træk","Skanderborg, Østjylland",id2557,Detaljer,"Danmarksvej 6, 8660 Skanderborg",CVR-nr.: 44883112,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-business-5d/6357343
279.700 kr.,VW ID.4Pro Performance 5d,"4/2022, 38.000 km, 514 km rækkevidde, El","* Hvidmetal
* Originalt el-svingbart træk
* Bakkamera
* Nøglefri betjening både adgang & start
* Helt mørk kabine
* Varmepumpe
* Adaptiv fartpilot
* Ambiente belysning
* 19"" alufælge
* Apple Carplay
* Vognbaneassistent
* Skiltegenkendelse
* Front Assist
* Træthedsregistrering
* Trådløs mobilopladning
* Musikstreaming via bluetooth
* Varme i forrude
* Navigation
* Sort himmel
* USB tilslutning for & bag
* 3 zone klima
* Auto. nedbl. bakspejl
* Parkeringssensor for & bag
* DAB radio
* Fuld LED forlygter
* ID.Light
* Læder multifunktionsrat med varme
* Bluetooth
* Sædevarme
* Regnsensor
* Komfort pakke Plus
* Teknik pakke
* Dæktryksmåler
* Elektrisk parkeringsbremse
* Service ok og sidst ved 33.909 km
* CCS hurtig ladestik
* 3-faset ladning

Aut.gear, 4x el-ruder, el-klapbare sidespejle m. varme, digitalt cockpit, android auto, led kørelys, automatisk lys, tågelygter, fjernb. c.lås, kørecomputer, infocenter, udv. temp. måler, højdejust. førersæde, gummimåtter medfølger, håndfrit til mobil, armlæn, isofix, bagagerumsdækken, kopholder, splitbagsæde, 8 airbags, abs, antispin, servo, automatisk nødbremsesystem, tagræling, lev. nysynet, ikke ryger, 1 ejer.

Indregistreret 1 gang 14-04-2022
Attraktiv finansiering tilbydes med eller UDEN udbetaling.","Viborg, Østjylland",id11497,Detaljer,"Falkevej 21, 8800 Viborg",CVR-nr.: 37109010,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6357345
229.900 kr.,VW ID.4Pro Performance Business 5d,"8/2021, 101.000 km, 516 km rækkevidde, El","🚗 VW ID.4 Business Performance 5d

BLACK WEEK - FÅ VINTERHJUL TIL INDKØBSPRIS - KONTAKT OS FOR MERE INFORMATION! 

⏱️ Første registrering: 8/2021
🛣️ Kørt: 101.000 KM
🎨 Farve: Mangan Grey Metallic
🪑 Indtræk: Dellæder sort/Brun
🔋 Rækkevidde: 518 KM WLTP

ℹ️ Udstyr:

Svingbart træk
Matrix LED Forlygter med dynamisk op/nedblænding
Navigation
App-Connect
Varmepumpe
Bakkamera 
Adaptiv Fartpilot
Lane Assist
P-sensor for og bag
Dellæder
Klimaanlæg
Og meget meget mere....

💳 Attraktiv finansiering med og uden udbetaling - Kontakt salgsafdelingen

💡 Populære tilvalg:

Vinterhjul: Kr. 12.995,-
Undervognsbehandling: Kr. 4.990,-
2 års FRAGUS garanti FRA kun: Kr. 5.995,-

🚨 Der tages forbehold for tastefejl.

📢 Bilen er importeret, så der kan være udstyrsmæssige forskelle fra danske biler.","Køge, Syd- og Vestsjælland",id5528,Detaljer,"Københavnsvej 128, 4600 Køge",CVR-nr.: 44887029,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-business-5d/6327357
299.900 kr.,VW ID.4Pro Performance 5d,"8/2023, 595 km, 517 km rækkevidde, El","**VW ID.4 EL Pro Performance 2023 – Kun 595 km!**

BEMÆRK! Denne ID.4'er har svingbart-anhængertræk. OG Adaptiv-fartpilot!

Er du på udkig efter en elbil, der kombinerer komfort, stil og ydeevne? Så behøver du ikke lede videre. Denne VW ID.4 fra 2023 er det perfekte valg for dig, der ønsker en moderne SUV med en grøn profil. Med blot 595 km på tælleren, får du næsten en spritny bil med mange års køreglæde foran dig. ID.4'eren leveres med en imponerende rækkevidde på 517 km og giver dig mulighed for hurtig opladning med op til 125 kW.

- Pro Performance udstyrsniveau
- Stort 77 kWh batteri
- Rækkevidde på 517 km på el
- Årlig ejerafgift på kun 780 kr.


Beskyt Din Bil: Fragus Garantitilkøb!
Gør som 79% af vores andre kunder og tilkøb Fragus Garantitilkøb for ekstra tryghed.

For en minimal pris kan du udvide garantiperioden og beskytte dig mod uforudsete hændelser.

Vil du vide mere om Fragus Garantitilkøb? Kontakt os for at høre nærmere!

Vi præsenterer altid fordelagtige finansieringsmuligheder, uanset om du foretrækker med eller uden udbetaling. Har du allerede en bil, tager vi naturligvis gerne den i bytte.

📍 Find os på Bondovej 13-15, 5250 Odense SV
📞 Ring til os på 63 17 41 41
📩 Skriv til os på Bondovej@karvil.dk

Vi har åbent alle ugens dage!
📅 Mandag-Fredag: 09:00-17:30
📅 Lørdag-Søndag: 11:00-16:00

Se vores komplette udvalg af brugte biler på karvil.dk/brugte-biler. Gør dit bilkøb sikkert og trygt hos Karvil Biler - vores kunder har talt på Trustpilot med ⭐️⭐️⭐️⭐️⭐️.

Vi ser frem til at byde dig velkommen hos Karvil Biler.

Med venlig hilsen
Oliver Kähler & Mohamad Kreidly.","Odense SV, Fyn",id1989,Detaljer,"Bondovej 13-15, 5250 Odense SV",CVR-nr.: 26172403,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-5d/6327351
