"price_eur","car_model","mileage_km","year_first_registration","seller_name","car_link","scrapedate"
"€ 21,950.-","Volkswagen ID.4 PURE NAVI-PRO LED DAB+ CLIMATRONIC APP-CONN","26,530 km","08/2021","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-navi-pro-led-dab-climatronic-app-conn-electric-white-ca657b2f-a98e-4fb4-85a4-6a463af6ab83","2024-12-10"
"€ 22,150.-","Volkswagen ID.4 PURE 125KW 52 kWh NAVI-PRO LED PDC+ DAB+","30,917 km","09/2021","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-125kw-52-kwh-navi-pro-led-pdc-dab-electric-grey-674355b4-5acd-42ce-93e8-cfcca1d2c057","2024-12-10"
"€ 22,950.-","Volkswagen ID.4 PURE FAHRSCHULAUSSTATTUNG KAMERA NAVI+","31,707 km","06/2022","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-fahrschulausstattung-kamera-navi-electric-black-c012a095-855c-4d08-8662-48c11b5b9106","2024-12-10"
"€ 25,350.-","Volkswagen ID.4 Pure Navi+IQ-Light+ACC+Shzg.+PDC+19´´","32,000 km","04/2022","Autohaus Küver GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pure-navi-iq-light-acc-shzg-pdc-19-electric-grey-aa59a4dd-fc3c-4ce1-86ca-0f699a63d743","2024-12-10"
"€ 25,950.-","Volkswagen ID.4 Pure Wärmepumpe ACC Kamera EasyOpen Keyless Klima","17,541 km","05/2022","Autohaus Abicht GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pure-waermepumpe-acc-kamera-easyopen-keyless-klima-electric-blue-5b566874-4756-4a7c-ba21-68277e3c2d4b","2024-12-10"
"€ 25,980.-","Volkswagen ID.4 Pro Performance NAVI LED PDC AUT","27,357 km","04/2021","Autohaus Adelbert Moll GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-navi-led-pdc-aut-electric-grey-7d6b0410-3d79-4791-9e8f-bacf5e22406f","2024-12-10"
"€ 23,450.-","Volkswagen ID.4 Pure 125kW LED NAVI DAB PDC KLIMA ESP BT BC Klima","26,182 km","09/2021","Autohaus Abicht GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pure-125kw-led-navi-dab-pdc-klima-esp-bt-bc-klima-electric-grey-d6f0424c-c1be-40a8-b70d-aa74646b326b","2024-12-10"
"€ 24,999.-","Volkswagen ID.4 Pure Performance Automatik CCS*AHK*19""* Pure","25,807 km","07/2021","Nord-Automobile","https://www.autoscout24.com/offers/volkswagen-id-4-pure-performance-automatik-ccs-ahk-19-pure-electric-white-e16a5a41-7d32-47ce-abc9-055d53010d79","2024-12-10"
"€ 25,990.-","Volkswagen ID.4 Pro 150kW 1-Gang Automatik 4 Türen","60,073 km","07/2021","VEHICLE TRADING INTERNATIONAL (VTI) GMBH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-150kw-1-gang-automatik-4-tueren-electric-grey-694bbfae-2ff4-485c-ab6c-381306c163c6","2024-12-10"
"€ 27,280.-","Volkswagen ID.4 PURE NAVI LED KAMERA SITZH","10,607 km","10/2022","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-navi-led-kamera-sitzh-electric-white-cf5edefb-c3d2-483f-a51f-be71041b53a3","2024-12-10"
"€ 32,540.-","Volkswagen ID.4 GTX 82 KWH 4x4 Automatik","42,175 km","08/2022","DB Autohaus Schweinfurt","https://www.autoscout24.com/offers/volkswagen-id-4-gtx-82-kwh-4x4-automatik-electric-red-16830f8e-9447-456a-ae0c-4f7e43c33f64","2024-12-10"
"€ 36,430.-","Volkswagen ID.4 Pro Performance *WÄRME*AHK*IQ-L*ACC*NAV*21""","18,900 km","11/2023","Auto Singer GmbH + Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-waerme-ahk-iq-l-acc-nav-21-electric-white-44460a2e-7afc-4a23-a4d2-27ad5bdcc42f","2024-12-10"
"€ 34,880.-","Volkswagen ID.4 Pro Performance 150 kW","8,483 km","04/2023","Volkswagen Zentrum Osnabrück GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-150-kw-electric-black-2b6ea171-6349-46df-b8cf-caa1f8938b73","2024-12-10"
"€ 34,340.-","Volkswagen ID.4 Pro Performance 82kWh Wärmepumpe Matrix AHK PDC AC","28,800 km","08/2023","Maschek Automobile GmbH Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-82kwh-waermepumpe-matrix-ahk-pdc-ac-electric-black-8b43fc04-0db7-4650-997c-4018fc758f2a","2024-12-10"
"€ 30,450.-","Volkswagen ID.4 Pro Performance 1St Edition","27,498 km","05/2021","Starke Ibbenbüren GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-1st-edition-electric-white-359afee4-b024-40a1-96ea-10f9f4252a8a","2024-12-10"
"€ 30,980.-","Volkswagen ID.4 Pro Performance 150 kW+WÄRMEPUMPE+AHK","34,600 km","07/2022","auto:mobil GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-150-kw-waermepumpe-ahk-electric-grey-e5fe1da6-96b3-47ed-a95b-3a8647e0a5f3","2024-12-10"
"€ 37,950.-","Volkswagen ID.4 Pro 150kW AHK Winterr KAMERA ACC 0,99% 269 Klima","10,560 km","11/2023","Autohaus Abicht GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-150kw-ahk-winterr-kamera-acc-0-99-269-klima-electric-black-d3062d80-3d52-4063-9fbd-c2bbeba661b4","2024-12-10"
"€ 34,330.-","Volkswagen ID.4 Pro Performance *AHK*IQ-L*ACC*NAV*20""*R-CAM","31,400 km","11/2023","Auto Singer GmbH + Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-ahk-iq-l-acc-nav-20-r-cam-electric-white-6e4f0ef4-1dce-49cd-bf2e-3a6bfc263e04","2024-12-10"
"€ 41,850.-","Volkswagen ID.4 GTX 4M *WÄRME*PANO*IQ-L*AHK*NAV*ACC*21""*DCC","19,900 km","12/2023","Auto Singer GmbH + Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-gtx-4m-waerme-pano-iq-l-ahk-nav-acc-21-dcc-electric-white-2c17a8c0-89d3-4347-9dc3-d98be41832a6","2024-12-10"
"€ 22,150.-","Volkswagen ID.4 PURE 125KW 52 kWh NAVI-PRO LED PDC+ DAB+","30,917 km","09/2021","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-125kw-52-kwh-navi-pro-led-pdc-dab-electric-grey-674355b4-5acd-42ce-93e8-cfcca1d2c057","2024-12-10"
"€ 23,950.-","Volkswagen ID.4 Pure ACC Leichtmetallfelgen Ganzjahresreifen","38,329 km","10/2022","Autohaus Abicht GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pure-acc-leichtmetallfelgen-ganzjahresreifen-electric-grey-7fc564fa-8277-4262-8785-52a5cfd29ec8","2024-12-10"
