"price_eur","car_model","mileage_km","year_first_registration","seller_name","car_link","scrapedate"
"€ 21,950.-","Volkswagen ID.4 PURE NAVI-PRO LED DAB+ CLIMATRONIC APP-CONN","26,530 km","08/2021","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-navi-pro-led-dab-climatronic-app-conn-electric-white-ca657b2f-a98e-4fb4-85a4-6a463af6ab83","2024-12-17"
"€ 24,880.-","Volkswagen ID.4 PRO LM19 NAVI-PRO APP-CONNECT PDC+","57,718 km","11/2021","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-lm19-navi-pro-app-connect-pdc-electric-grey-4f7ada9d-4cb2-41ca-91db-a5444d677c3c","2024-12-17"
"€ 22,950.-","Volkswagen ID.4 PURE FAHRSCHULAUSSTATTUNG KAMERA NAVI+","31,707 km","06/2022","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-fahrschulausstattung-kamera-navi-electric-black-c012a095-855c-4d08-8662-48c11b5b9106","2024-12-17"
"€ 24,750.-","Volkswagen ID.4 Pure Navi+IQ-Light+ACC+Shzg.+PDC+19´´","32,000 km","04/2022","Autohaus Küver GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pure-navi-iq-light-acc-shzg-pdc-19-electric-grey-aa59a4dd-fc3c-4ce1-86ca-0f699a63d743","2024-12-17"
"€ 22,790.-","Volkswagen ID.4 PURE AHK NAVI LED APP-CONNECT PDC+","27,019 km","08/2021","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-ahk-navi-led-app-connect-pdc-electric-grey-62c31d9e-beb7-4187-9892-7acc757443de","2024-12-17"
"€ 33,470.-","Volkswagen ID.4 PRO PERFORMANCE 150KW//77kWh WÄRMEPUMPE LED","4,999 km","01/2023","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-150kw-77kwh-waermepumpe-led-electric-silver-67f84488-6ece-4938-a285-e3d6f4aae759","2024-12-17"
"€ 32,980.-","Volkswagen ID.4 PRO AHK KAMERA SITZH ACC","19,859 km","10/2023","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-ahk-kamera-sitzh-acc-electric-blue-75973119-f1b8-4790-b209-76225852bfea","2024-12-17"
"€ 31,360.-","Volkswagen ID.4 GTX","59,801 km","09/2022","DB Autohaus Maintal","https://www.autoscout24.com/offers/volkswagen-id-4-gtx-electric-grey-f435ed7d-d060-4e89-a431-83062add872a","2024-12-17"
"€ 23,450.-","Volkswagen ID.4 Pure 125kW LED NAVI DAB PDC KLIMA ESP BT BC Klima","26,182 km","09/2021","Autohaus Abicht GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pure-125kw-led-navi-dab-pdc-klima-esp-bt-bc-klima-electric-grey-d6f0424c-c1be-40a8-b70d-aa74646b326b","2024-12-17"
"€ 25,950.-","Volkswagen ID.4 Pure Wärmepumpe ACC Kamera EasyOpen Keyless Klima","17,541 km","05/2022","Autohaus Abicht GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pure-waermepumpe-acc-kamera-easyopen-keyless-klima-electric-blue-5b566874-4756-4a7c-ba21-68277e3c2d4b","2024-12-17"
