Model,Pris_DKK,Kilometer_kategori,Land
VW ID.4Pro Performance 5d,249800,0-10k,Danmark
VW ID.4Life 5d,289900,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,269999,0-10k,Danmark
VW ID.4Life 5d,289900,0-10k,Danmark
VW ID.4Pro Performance Business 5d,242500,0-10k,Danmark
VW ID.4Pro Performance 5d,279700,10-50k,Danmark
VW ID.4Pro Performance Business 5d,239800,0-10k,Danmark
VW ID.4Pro Performance 5d,279700,0-10k,Danmark
VW ID.4Pro Performance Business 5d,229900,0-10k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,339990,0-10k,Danmark
VW ID.4Pro Performance Max 5d,249000,0-10k,Danmark
VW ID.4Pro Performance Tech 5d,259999,0-10k,Danmark
VW ID.4Pure 5d,189700,10-50k,Danmark
VW ID.4Style 5d,379900,0-10k,Danmark
VW ID.4Pro Performance 5d,239900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,249249,0-10k,Danmark
VW ID.4GTX 4Motion 5d,319900,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,264900,0-10k,Danmark
VW ID.4Pro Performance 5d,339900,10-50k,Danmark
VW ID.4Life 5d,294800,0-10k,Danmark
VW ID.4GTX 4Motion 5d,264900,10-50k,Danmark
VW ID.4Pro Performance 1ST 5d,239900,0-10k,Danmark
VW ID.4Pro 5d,259900,0-10k,Danmark
VW ID.4Life 5d,299900,0-10k,Danmark
VW ID.4Life 5d,299900,0-10k,Danmark
VW ID.4Life 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 5d,369500,10-50k,Danmark
VW ID.4Pro Performance 5d,299900,0-10k,Danmark
VW ID.4Pro Performance 5d,349900,10-50k,Danmark
VW ID.4Pro Performance 5d,349900,10-50k,Danmark
VW ID.41ST Pro 5d,234800,0-10k,Danmark
VW ID.4Pro Performance 5d,334900,10-50k,Danmark
VW ID.4Pro Performance 5d,279900,0-10k,Danmark
VW ID.4Style 5d,374900,0-10k,Danmark
VW ID.4Pro Performance Life Plus 5d,297500,0-10k,Danmark
VW ID.4Pro Performance 5d,289500,0-10k,Danmark
VW ID.4Pro Performance 5d,319900,10-50k,Danmark
VW ID.4Pro Performance Family 5d,254999,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,226900,0-10k,Danmark
VW ID.4Pro Performance 5d,269700,0-10k,Danmark
VW ID.4Pro Performance 1ST 5d,219900,0-10k,Danmark
VW ID.4Pro Performance 5d,314900,0-10k,Danmark
VW ID.4Pro Performance Family 5d,274400,0-10k,Danmark
VW ID.4Pro 5d,329900,0-10k,Danmark
VW ID.4Pro Performance 5d,314900,0-10k,Danmark
VW ID.4Style 5d,384900,0-10k,Danmark
VW ID.4Style 5d,384900,0-10k,Danmark
VW ID.4Pro Performance 5d,254900,0-10k,Danmark
VW ID.4GTX 4Motion 5d,359900,0-10k,Danmark
