Model,Pris,Kørte_kilometer,Link_til_bil
VW ID.4 Volkswagen Pro Performance 1-Gang-Automatik,339 €/ Monat,16.420 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1889969102&num_on_page=1&page=1&premium=true&search_id=56370080&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro 77 kWh 210 kW Pro mit Infotainm.P. 5 Türen,48.383 €ab 637€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro 77 kWh 210 kW Pro mit Infotainm.P. 5 Türen●○○○○ Hoher Preis: 48.383 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 26.700 €●●●●○ Guter Preis: 26.700 € zu 28.200 €●●●○○ Fair Preis: 28.200 € zu 31.200 €●●○○○ Erhöhter Preis: 31.200 € zu 32.700 €●○○○○ Hoher Preis: 32.700 € zu 59.400 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 210 PSErstzulassung: 2024Kraftstoff: ElektroGetriebe: AKilometerzähler: 10 kmAusstattung / Eigenschaften: ×,10 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1910317330&num_on_page=2&page=1&premium=true&search_id=56370080&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Volkswagen Pure 52 kWh 125 kW Goal 5 Türen,312 €/ Monat,- km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1909498476&num_on_page=3&page=1&premium=true&search_id=56370080&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro 77 kWh 210 kW Pro mit Infotainm.P. 5 Türen,48.383 €ab 637€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro 77 kWh 210 kW Pro mit Infotainm.P. 5 Türen●○○○○ Hoher Preis: 48.383 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 26.700 €●●●●○ Guter Preis: 26.700 € zu 28.200 €●●●○○ Fair Preis: 28.200 € zu 31.200 €●●○○○ Erhöhter Preis: 31.200 € zu 32.700 €●○○○○ Hoher Preis: 32.700 € zu 59.400 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 210 PSErstzulassung: 2024Kraftstoff: ElektroGetriebe: AKilometerzähler: 10 kmAusstattung / Eigenschaften: ×,10 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1910317330&num_on_page=1&page=1&search_id=56241555&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pure 52 kWh 125 kW Pure mit Infotainm.P. 5 Türen,50.278 €ab 662€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pure 52 kWh 125 kW Pure mit Infotainm.P. 5 Türen●○○○○ Hoher Preis: 50.278 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 26.000 €●●●●○ Guter Preis: 26.000 € zu 27.400 €●●●○○ Fair Preis: 27.400 € zu 30.300 €●●○○○ Erhöhter Preis: 30.300 € zu 31.700 €●○○○○ Hoher Preis: 31.700 € zu 57.700 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 125 PSErstzulassung: 2024Kraftstoff: ElektroGetriebe: AKilometerzähler: 0 kmAusstattung / Eigenschaften: ×,0 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1910330076&num_on_page=2&page=1&search_id=56114822&title=VW+ID.4+Gebrauchtwagen+suchen+und+vergleichen+-+12Gebrauchtwagen.de
VW ID.4 Pro 77 kWh 210 kW Pro 5 Türen,57.585 €ab 758€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro 77 kWh 210 kW Pro 5 Türen●○○○○ Hoher Preis: 57.585 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 26.700 €●●●●○ Guter Preis: 26.700 € zu 28.200 €●●●○○ Fair Preis: 28.200 € zu 31.200 €●●○○○ Erhöhter Preis: 31.200 € zu 32.700 €●○○○○ Hoher Preis: 32.700 € zu 59.400 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 210 PSErstzulassung: 2024Kraftstoff: ElektroGetriebe: AKilometerzähler: 0 kmAusstattung / Eigenschaften: ×,0 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1908053384&num_on_page=1&page=1&search_id=56100957&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro 77 kWh 210 kW Pro mit Infotainm.P. 5 Türen,55.788 €ab 735€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro 77 kWh 210 kW Pro mit Infotainm.P. 5 Türen●○○○○ Hoher Preis: 55.788 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 26.700 €●●●●○ Guter Preis: 26.700 € zu 28.200 €●●●○○ Fair Preis: 28.200 € zu 31.200 €●●○○○ Erhöhter Preis: 31.200 € zu 32.700 €●○○○○ Hoher Preis: 32.700 € zu 59.400 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Leistung: 210 PSErstzulassung: 2024Kraftstoff: ElektroGetriebe: AKilometerzähler: 1 kmAusstattung / Eigenschaften: ×,1 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1910334752&num_on_page=1&page=1&search_id=56181668&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro 77 kWh 210 kW Pro mit Infotainm.P. 5 Türen,"55.824 €ab 736€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro 77 kWh 210 kW Pro mit Infotainm.P. 5 Türen●○○○○ Hoher Preis: 55.824 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 26.700 €●●●●○ Guter Preis: 26.700 € zu 28.200 €●●●○○ Fair Preis: 28.200 € zu 31.200 €●●○○○ Erhöhter Preis: 31.200 € zu 32.700 €●○○○○ Hoher Preis: 32.700 € zu 59.400 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: LimousineLeistung: 210 PSErstzulassung: 2024Kraftstoff: ElektroGetriebe: AKilometerzähler: 0 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie, Scheckheftgepflegt×",0 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1908064102&num_on_page=1&page=1&search_id=56370080&title=VW+ID.4+gebraucht+kaufen
VW ID.4 PRO LM20 NAVI KAMERA IQ.LIGHT,"36.280 €ab 478€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 PRO LM20 NAVI KAMERA IQ.LIGHT●○○○○ Hoher Preis: 36.280 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 24.800 €●●●●○ Guter Preis: 24.800 € zu 26.100 €●●●○○ Fair Preis: 26.100 € zu 28.900 €●●○○○ Erhöhter Preis: 28.900 € zu 30.300 €●○○○○ Hoher Preis: 30.300 € zu 55.000 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: SUV/PickupLeistung: 150 PSErstzulassung: 2023Kraftstoff: ElektroGetriebe: AKilometerzähler: 46242 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Jahreswagen, Garantie, Scheckheftgepflegt×",46.242 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1907785043&num_on_page=1&page=1&search_id=56370080&title=VW+ID.4+gebraucht+kaufen
VW ID.4 GTX LM20 PANO WÄRMEPUMPE SPORTPAKET+,"34.680 €ab 456€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 GTX LM20 PANO WÄRMEPUMPE SPORTPAKET+●○○○○ Hoher Preis: 34.680 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 24.800 €●●●●○ Guter Preis: 24.800 € zu 26.100 €●●●○○ Fair Preis: 26.100 € zu 28.900 €●●○○○ Erhöhter Preis: 28.900 € zu 30.300 €●○○○○ Hoher Preis: 30.300 € zu 55.000 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: SUV/PickupLeistung: 220 PSErstzulassung: 2021Kraftstoff: ElektroGetriebe: AKilometerzähler: 63002 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie, Scheckheftgepflegt×",63.002 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1907948027&num_on_page=2&page=1&search_id=56370080&title=VW+ID.4+gebraucht+kaufen
VW ID.4 Pro Perf 21 AHK 360-KAMERA IQ.LIGHT WÄRMEP.,"40.000 €ab 528€ finanzieren ↗●○○○○ Hoher Preis ⓘ12Gebrauchtwagen Preisbarometer für:VW ID.4 Pro Perf 21 AHK 360-KAMERA IQ.LIGHT WÄRMEP.●○○○○ Hoher Preis: 40.000 €Zum AngebotPreisklassen für dieses Auto:●●●●● Superpreis: Bis 25.400 €●●●●○ Guter Preis: 25.400 € zu 26.800 €●●●○○ Fair Preis: 26.800 € zu 29.600 €●●○○○ Erhöhter Preis: 29.600 € zu 31.100 €●○○○○ Hoher Preis: 31.100 € zu 56.500 €Für diese Preisbewertung sind unter anderem wichtig:Hersteller: VWModell: ID.4Fahrzeugtyp: SUV/PickupLeistung: 150 PSErstzulassung: 2023Kraftstoff: ElektroGetriebe: AKilometerzähler: 27490 kmAusstattung / Eigenschaften: Klimaanlage, Airbag, Garantie×",27.490 km,https://www.12gebrauchtwagen.de/c/partner?car_ad_id=1907773987&num_on_page=3&page=1&search_id=56370080&title=VW+ID.4+gebraucht+kaufen
