Model,Pris,Kørte_kilometer,Link_til_bil,scrapedate,Pris_DKK,Pris_med_afgift
VW ID.4 Volkswagen Pro Performance 1GangAutomatik,339000,16420,httpswww.12gebrauchtwagen.decpartnercar_ad_id1889969102num_on_page1page1premiumtruesearch_id56370080titleVWID.4gebrauchtkaufen,2024-11-22,2525550,3156937.5
VW ID.4 Pro 77 kWh 210 kW Pro mit Infotainm.P. 5 Türen,48383,10,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910317330num_on_page2page1premiumtruesearch_id56370080titleVWID.4gebrauchtkaufen,2024-11-22,360453.35000000003,450566.68750000006
VW ID.4 Pro 77 kWh 210 kW Pro mit Infotainm.P. 5 Türen,48383,10,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910317330num_on_page1page1search_id56241555titleVWID.4gebrauchtkaufen,2024-11-22,360453.35000000003,450566.68750000006
VW ID.4 Pure 52 kWh 125 kW Pure mit Infotainm.P. 5 Türen,50278,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910330076num_on_page2page1search_id56114822titleVWID.4Gebrauchtwagensuchenundvergleichen12Gebrauchtwagen.de,2024-11-22,374571.10000000003,468213.87500000006
VW ID.4 Pro 77 kWh 210 kW Pro 5 Türen,57585,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908053384num_on_page1page1search_id56100957titleVWID.4gebrauchtkaufen,2024-11-22,429008.25,536260.3125
VW ID.4 Pro 77 kWh 210 kW Pro mit Infotainm.P. 5 Türen,55788,1,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910334752num_on_page1page1search_id56181668titleVWID.4gebrauchtkaufen,2024-11-22,415620.60000000003,519525.75000000006
VW ID.4 Pro 77 kWh 210 kW Pro mit Infotainm.P. 5 Türen,55824,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908064102num_on_page1page1search_id56370080titleVWID.4gebrauchtkaufen,2024-11-22,415888.8,519861
VW ID.4 PRO LM20 NAVI KAMERA IQ.LIGHT,36280,46242,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907785043num_on_page1page1search_id56370080titleVWID.4gebrauchtkaufen,2024-11-22,270286,337857.5
VW ID.4 GTX LM20 PANO WÄRMEPUMPE SPORTPAKET,34680,63002,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907948027num_on_page2page1search_id56370080titleVWID.4gebrauchtkaufen,2024-11-22,258366,322957.5
VW ID.4 Pro Perf 21 AHK 360KAMERA IQ.LIGHT WÄRMEP.,40000,27490,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907773987num_on_page3page1search_id56370080titleVWID.4gebrauchtkaufen,2024-11-22,298000,372500
VW ID.4 Pure Performance Goal,49040,10,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907773424num_on_page4page1search_id56370080titleVWID.4gebrauchtkaufen,2024-11-22,365348,456685
VW ID.4 GTX 4mot. WärmePumpe NaviPro MatrixLED Panorama 1GangAutomatik,39980,42622,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907940583num_on_page5page1search_id56370080titleVWID.4gebrauchtkaufen,2024-11-22,297851,372313.75
VW ID.4 Pro GOAL 1 GangAutomatik LEDDesignPaket,57113,50,httpswww.12gebrauchtwagen.decpartnercar_ad_id1910126284num_on_page1page1search_id56370080titleVWID.4gebrauchtkaufen,2024-11-22,425491.85000000003,531864.8125
VW ID.4 PRO PERFORMANCE 204PS ACC.5JG.AHK.KAMERA.N,35990,8150,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907957548num_on_page2page1search_id56370080titleVWID.4gebrauchtkaufen,2024-11-22,268125.5,335156.875
VW ID.4 Pro Performance 150 kWLEDNAVIACC,31980,28070,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907918530num_on_page3page1search_id56370080titleVWID.4gebrauchtkaufen,2024-11-22,238251,297813.75
VW ID.4 Pro Performance AHK IQ.Light CCS Navi Pano Alu19Hamar 1Gang,35594,32458,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907999946num_on_page1page2premiumfalsesearch_id56378890titleVWID.4gebrauchtkaufen,2024-11-22,265175.3,331469.125
VW ID.4 Elektro Pro Performance MatrixNAVACCSH,30980,28630,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907781871num_on_page2page2premiumfalsesearch_id56378890titleVWID.4gebrauchtkaufen,2024-11-22,230801,288501.25
VW ID.4 PRO PERFORMANCE NAVI IQ.LIGHT LM20,35280,34999,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907959120num_on_page3page2premiumfalsesearch_id56378890titleVWID.4gebrauchtkaufen,2024-11-22,262836,328545
VW ID.4 PRO PERFORMANCE 204PS LED.KAMERA.CCS.ACC.NA,31440,39980,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907833284num_on_page1page2search_id56378890titleVWID.4gebrauchtkaufen,2024-11-22,234228,292785
VW ID.4 PURE 170PS 5JG MATRIX.CCS.WÄRMEPUMPE.NAVI.,28880,23400,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907914667num_on_page2page2search_id56378890titleVWID.4gebrauchtkaufen,2024-11-22,215156,268945
VW ID.4 GTX ACC Kamera 360 Wärmepumpe,35979,29644,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907988451num_on_page3page2search_id56378890titleVWID.4gebrauchtkaufen,2024-11-22,268043.55,335054.4375
VW ID.4 Pro Performance NAVI AHK ACC LED,37930,11919,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907927686num_on_page4page2search_id56378890titleVWID.4gebrauchtkaufen,2024-11-22,282578.5,353223.125
VW ID.4 GTX 4MOTION AHK IQ.DRIVE WKR Assistenzpaket,46140,35000,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907804932num_on_page5page2search_id56378890titleVWID.4gebrauchtkaufen,2024-11-22,343743,429678.75
VW ID.4 PRO SILVER 82kWh LED APPCONNECT SITZH AHK,28600,61339,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907929249num_on_page1page2search_id56378890titleVWID.4gebrauchtkaufen,2024-11-22,213070,266337.5
VW ID.4 GTX ACC Kamera 360 Wärmepumpe,37979,29644,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907953701num_on_page2page2search_id56378890titleVWID.4gebrauchtkaufen,2024-11-22,282943.55,353679.4375
VW ID.4 GTX 4MOTION 250 kW 340 PS Design KomfortInfo Plus Winterräder,69088,0,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907815359num_on_page3page2search_id56378890titleVWID.4gebrauchtkaufen,2024-11-22,514705.60000000003,643382
VW ID.4 150kW Pro Performance MATRIXLED SHZ,28400,33060,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907913372num_on_page4page2search_id56378890titleVWID.4gebrauchtkaufen,2024-11-22,211580,264475
VW ID.4 PURE 170PS 5JG LED.NAVI.ACC.CCS.2xPDC.SITZ,30880,25600,httpswww.12gebrauchtwagen.decpartnercar_ad_id1907845257num_on_page5page2search_id56378890titleVWID.4gebrauchtkaufen,2024-11-22,230056,287570
VW ID.4 Pro Performance NAVI AHK ACC LED,37930,11919,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908021245num_on_page1page2search_id56378890titleVWID.4gebrauchtkaufen,2024-11-22,282578.5,353223.125
VW ID.4 PRO PERFORMANCE NAVI IQ.LIGHT LM20,35280,34999,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908025115num_on_page2page2search_id56301619titleVWID.4gebrauchtkaufen,2024-11-22,262836,328545
VW ID.4 GTX LM20 PANO WÄRMEPUMPE SPORTPAKET,34680,63002,httpswww.12gebrauchtwagen.decpartnercar_ad_id1908023724num_on_page3page2search_id56301619titleVWID.4gebrauchtkaufen,2024-11-22,258366,322957.5
